ont,gene
SPATA_NeuronalProgenitor,SELENOW
SPATA_NeuronalProgenitor,STMN1
SPATA_NeuronalProgenitor,UBB
SPATA_NeuronalProgenitor,THY1
SPATA_NeuronalProgenitor,BEX1
SPATA_NeuronalProgenitor,COX6C
SPATA_NeuronalProgenitor,CKB
SPATA_NeuronalProgenitor,BEX3
SPATA_NeuronalProgenitor,RTN1
SPATA_NeuronalProgenitor,TUBB2A
SPATA_NeuronalProgenitor,VSNL1
SPATA_NeuronalProgenitor,DYNLL1
SPATA_NeuronalProgenitor,HINT1
SPATA_NeuronalProgenitor,ENC1
SPATA_NeuronalProgenitor,OLFM1
SPATA_NeuronalProgenitor,STMN2
SPATA_NeuronalProgenitor,SLC1A2
SPATA_NeuronalProgenitor,PRNP
SPATA_NeuronalProgenitor,FXYD6
SPATA_NeuronalProgenitor,NEFL
SPATA_NeuronalProgenitor,PCP4
SPATA_NeuronalProgenitor,SNCG
SPATA_NeuronalProgenitor,NEFM
SPATA_NeuronalProgenitor,RGS4
SPATA_NeuronalProgenitor,DCLK1
SPATA_NeuronalProgenitor,ACSL6
SPATA_NeuronalProgenitor,GPM6A
SPATA_NeuronalProgenitor,CALM3
SPATA_NeuronalProgenitor,CAMK2N1
SPATA_NeuronalProgenitor,PEBP1
SPATA_NeuronalProgenitor,NRGN
SPATA_NeuronalProgenitor,NNAT
SPATA_NeuronalProgenitor,SERINC1
SPATA_NeuronalProgenitor,YWHAH
SPATA_NeuronalProgenitor,HSPA8
SPATA_NeuronalProgenitor,MAP1B
SPATA_NeuronalProgenitor,SYT1
SPATA_NeuronalProgenitor,TSPAN7
SPATA_NeuronalProgenitor,AP2M1
SPATA_NeuronalProgenitor,EIF4A2
SPATA_NeuronalProgenitor,ATP5MPL
SPATA_NeuronalProgenitor,SNRPN
SPATA_NeuronalProgenitor,CHN1
SPATA_NeuronalProgenitor,SLC17A7
SPATA_NeuronalProgenitor,TSC22D1
SPATA_NeuronalProgenitor,RTN4
SPATA_NeuronalProgenitor,LDHB
SPATA_NeuronalProgenitor,MEG3
SPATA_NeuronalProgenitor,YWHAG
SPATA_NeuronalProgenitor,BASP1
SPATA_NeuronalProgenitor,CLSTN1
SPATA_NeuronalProgenitor,CPE
SPATA_NeuronalProgenitor,FABP3
SPATA_RadialGlia,S100B
SPATA_RadialGlia,ITM2B
SPATA_RadialGlia,CST3
SPATA_RadialGlia,GPM6B
SPATA_RadialGlia,C1orf61
SPATA_RadialGlia,GLUL
SPATA_RadialGlia,QKI
SPATA_RadialGlia,TSC22D4
